rank,activation,hidden_dim,learning_rate,optimizer,epochs,seed,final_loss,final_train_accuracy,final_test_accuracy
1,relu,16,0.05,adam,1000,42,0.04537512518631638,0.9944444444444445,0.9916666666666667
2,relu,16,0.01,adam,1000,42,0.052598997874149477,0.9944444444444445,0.9916666666666667
3,relu,64,0.1,momentum,1000,42,0.051410297867358686,0.9944444444444445,0.9916666666666667
4,relu,64,0.1,adam,1000,42,0.04468257272221524,0.9944444444444445,0.9916666666666667
5,relu,64,0.05,adam,1000,42,0.044713467086098704,0.9944444444444445,0.9916666666666667
6,relu,64,0.01,adam,1000,42,0.047139633563102835,0.9944444444444445,0.9916666666666667
7,relu,64,0.005,adam,1000,42,0.05215763036120052,0.9944444444444445,0.9916666666666667
8,relu,128,0.1,momentum,1000,42,0.05129295686586579,0.9944444444444445,0.9916666666666667
9,relu,128,0.05,adam,1000,42,0.04468643347250523,0.9944444444444445,0.9916666666666667
10,tanh,16,0.1,adam,1000,42,0.04199886647343867,0.9944444444444445,0.9916666666666667
11,tanh,16,0.05,adam,1000,42,0.0426993947040715,0.9944444444444445,0.9916666666666667
12,tanh,16,0.01,adam,1000,42,0.04882049081149246,0.9944444444444445,0.9916666666666667
13,tanh,32,0.1,adam,1000,42,0.04096673369308037,0.9944444444444445,0.9916666666666667
14,tanh,32,0.05,adam,1000,42,0.04161129403381374,0.9944444444444445,0.9916666666666667
15,tanh,32,0.01,adam,1000,42,0.046824140605848066,0.9944444444444445,0.9916666666666667
16,tanh,64,0.1,adam,1000,42,0.03969946691353445,0.9944444444444445,0.9916666666666667
17,tanh,64,0.05,adam,1000,42,0.04165117820657715,0.9944444444444445,0.9916666666666667
18,tanh,64,0.01,adam,1000,42,0.04641752666486462,0.9944444444444445,0.9916666666666667
19,tanh,128,0.1,momentum,1000,42,0.05371890012550569,0.9944444444444445,0.9916666666666667
20,tanh,128,0.1,adam,1000,42,0.04115832983537149,0.9944444444444445,0.9916666666666667
21,tanh,128,0.05,adam,1000,42,0.04219602524430387,0.9944444444444445,0.9916666666666667
22,tanh,128,0.01,adam,1000,42,0.04860396688530476,0.9944444444444445,0.9916666666666667
23,tanh,128,0.005,adam,1000,42,0.05385613294360467,0.9944444444444445,0.9916666666666667
24,sigmoid,16,0.1,adam,1000,42,0.09277586320218004,0.9944444444444445,0.9916666666666667
25,sigmoid,16,0.05,adam,1000,42,0.09077968560767669,0.9944444444444445,0.9916666666666667
26,sigmoid,32,0.1,adam,1000,42,0.0873403957810886,0.9944444444444445,0.9916666666666667
27,sigmoid,32,0.05,adam,1000,42,0.08786005100543287,0.9944444444444445,0.9916666666666667
28,relu,16,0.1,momentum,1000,42,0.05345704557113479,0.9944444444444445,0.9833333333333333
29,relu,16,0.1,adam,1000,42,0.0450290812752341,0.9944444444444445,0.9833333333333333
30,relu,16,0.05,momentum,1000,42,0.0723567715550299,0.9916666666666667,0.9833333333333333
31,relu,16,0.005,adam,1000,42,0.07102486997858362,0.9916666666666667,0.9833333333333333
32,relu,32,0.1,adam,1000,42,0.04417264202687937,0.9944444444444445,0.9833333333333333
33,relu,32,0.05,adam,1000,42,0.04494441759126652,0.9944444444444445,0.9833333333333333
34,relu,32,0.01,adam,1000,42,0.04982875973111675,0.9944444444444445,0.9833333333333333
35,relu,32,0.005,adam,1000,42,0.06023400031371576,0.9944444444444445,0.9833333333333333
36,relu,64,0.05,momentum,1000,42,0.06167492468183698,0.9944444444444445,0.9833333333333333
37,relu,128,0.1,adam,1000,42,0.044376146238665426,0.9944444444444445,0.9833333333333333
38,relu,128,0.05,momentum,1000,42,0.058662280061016696,0.9944444444444445,0.9833333333333333
39,relu,128,0.01,adam,1000,42,0.048021244285540374,0.9944444444444445,0.9833333333333333
40,relu,128,0.005,adam,1000,42,0.05301736040915683,0.9944444444444445,0.9833333333333333
41,tanh,16,0.1,momentum,1000,42,0.051719197083061615,0.9944444444444445,0.9833333333333333
42,tanh,16,0.05,momentum,1000,42,0.07049421352804312,0.9888888888888889,0.9833333333333333
43,tanh,16,0.005,adam,1000,42,0.0662299208882059,0.9944444444444445,0.9833333333333333
44,tanh,32,0.1,momentum,1000,42,0.05266014468822206,0.9944444444444445,0.9833333333333333
45,tanh,32,0.005,adam,1000,42,0.05826433085065809,0.9944444444444445,0.9833333333333333
46,tanh,64,0.1,momentum,1000,42,0.05223914922795913,0.9944444444444445,0.9833333333333333
47,tanh,64,0.005,adam,1000,42,0.051276908641183574,0.9944444444444445,0.9833333333333333
48,tanh,128,0.05,momentum,1000,42,0.06388096015391873,0.9944444444444445,0.9833333333333333
49,sigmoid,16,0.01,adam,1000,42,0.11102201219591207,0.9861111111111112,0.9833333333333333
50,sigmoid,32,0.01,adam,1000,42,0.09791982596300391,0.9944444444444445,0.9833333333333333
51,sigmoid,64,0.1,adam,1000,42,0.08896766976782108,0.9944444444444445,0.9833333333333333
52,sigmoid,64,0.05,adam,1000,42,0.08983994336062745,0.9944444444444445,0.9833333333333333
53,sigmoid,64,0.01,adam,1000,42,0.10018224583876892,0.9944444444444445,0.9833333333333333
54,sigmoid,128,0.1,momentum,1000,42,0.11747727057074961,0.9833333333333333,0.9833333333333333
55,sigmoid,128,0.1,adam,1000,42,0.08785363931425785,0.9944444444444445,0.9833333333333333
56,sigmoid,128,0.05,adam,1000,42,0.09234310067236959,0.9944444444444445,0.9833333333333333
57,sigmoid,128,0.01,adam,1000,42,0.10186961257624338,0.9944444444444445,0.9833333333333333
58,sigmoid,128,0.005,adam,1000,42,0.11325739434803726,0.9861111111111112,0.9833333333333333
59,relu,32,0.1,momentum,1000,42,0.05346093499187941,0.9944444444444445,0.975
60,relu,32,0.05,momentum,1000,42,0.06723953791509979,0.9944444444444445,0.975
61,relu,128,0.1,gd,1000,42,0.11084908996193878,0.9833333333333333,0.975
62,relu,128,0.05,gd,1000,42,0.18740170640348933,0.9777777777777777,0.975
63,relu,128,0.01,momentum,1000,42,0.11138150881011186,0.9833333333333333,0.975
64,relu,128,0.005,momentum,1000,42,0.18920556983163475,0.9777777777777777,0.975
65,tanh,32,0.05,momentum,1000,42,0.0681423687651303,0.9944444444444445,0.975
66,tanh,64,0.05,momentum,1000,42,0.06515599142125289,0.9944444444444445,0.975
67,sigmoid,16,0.1,momentum,1000,42,0.17391925805395017,0.9555555555555556,0.975
68,sigmoid,32,0.005,adam,1000,42,0.12296109088196316,0.9833333333333333,0.975
69,sigmoid,64,0.005,adam,1000,42,0.12234698140453949,0.9833333333333333,0.975
70,sigmoid,128,0.05,momentum,1000,42,0.15711359287377213,0.9694444444444444,0.975
71,relu,16,0.01,momentum,1000,42,0.2178467981686822,0.9444444444444444,0.9666666666666667
72,relu,32,0.1,gd,1000,42,0.1592469027872411,0.9638888888888889,0.9666666666666667
73,relu,32,0.01,momentum,1000,42,0.15993338246411973,0.9611111111111111,0.9666666666666667
74,relu,64,0.1,gd,1000,42,0.13070446797392488,0.9777777777777777,0.9666666666666667
75,relu,64,0.01,momentum,1000,42,0.13169005797871594,0.9777777777777777,0.9666666666666667
76,tanh,32,0.1,gd,1000,42,0.17671854038970858,0.9611111111111111,0.9666666666666667
77,tanh,32,0.01,momentum,1000,42,0.1773972947472941,0.9611111111111111,0.9666666666666667
